timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733919156421,692,Select Flight,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,2,2,https://blazedemo.com/purchase.php,288,0,0
1733919156421,288,Select Flight-0,302,Found,Thread Group 1-3,text,true,,231,223,2,2,http://blazedemo.com/purchase.php,288,0,0
1733919156709,404,Select Flight-1,200,OK,Thread Group 1-3,text,true,,6715,127,2,2,https://blazedemo.com/purchase.php,400,0,0
1733919155722,1390,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-3,,false,,14454,660,2,2,null,577,1,0
1733919156824,732,Select Flight,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,290,0,0
1733919156824,290,Select Flight-0,302,Found,Thread Group 1-4,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,290,0,0
1733919157114,442,Select Flight-1,200,OK,Thread Group 1-4,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,414,0,0
1733919155915,1640,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-4,,false,,14450,660,1,1,null,585,1,15
1733919157557,704,Search Flights,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,278,0,0
1733919157557,278,Search Flights-0,302,Found,Thread Group 1-4,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,278,0,0
1733919157835,426,Search Flights-1,200,OK,Thread Group 1-4,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,397,0,0
1733919157916,795,Search Flights,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,301,0,14
1733919157916,301,Search Flights-0,302,Found,Thread Group 1-5,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,301,0,14
1733919158218,493,Search Flights-1,200,OK,Thread Group 1-5,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,477,0,98
1733919158262,700,Select Flight,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,2,2,https://blazedemo.com/purchase.php,290,0,0
1733919158262,290,Select Flight-0,302,Found,Thread Group 1-4,text,true,,231,223,2,2,http://blazedemo.com/purchase.php,290,0,0
1733919158552,410,Select Flight-1,200,OK,Thread Group 1-4,text,true,,6715,127,2,2,https://blazedemo.com/purchase.php,404,0,0
